"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|AL","Actual Total Load [MW] - BZN|AL"
"06.07.2023 00:00 - 06.07.2023 00:15","614","N/A"
"06.07.2023 00:15 - 06.07.2023 00:30","614","N/A"
"06.07.2023 00:30 - 06.07.2023 00:45","614","N/A"
"06.07.2023 00:45 - 06.07.2023 01:00","614","N/A"
"06.07.2023 01:00 - 06.07.2023 01:15","554","N/A"
"06.07.2023 01:15 - 06.07.2023 01:30","554","N/A"
"06.07.2023 01:30 - 06.07.2023 01:45","554","N/A"
"06.07.2023 01:45 - 06.07.2023 02:00","554","N/A"
"06.07.2023 02:00 - 06.07.2023 02:15","527","N/A"
"06.07.2023 02:15 - 06.07.2023 02:30","527","N/A"
"06.07.2023 02:30 - 06.07.2023 02:45","527","N/A"
"06.07.2023 02:45 - 06.07.2023 03:00","527","N/A"
"06.07.2023 03:00 - 06.07.2023 03:15","516","N/A"
"06.07.2023 03:15 - 06.07.2023 03:30","516","N/A"
"06.07.2023 03:30 - 06.07.2023 03:45","516","N/A"
"06.07.2023 03:45 - 06.07.2023 04:00","516","N/A"
"06.07.2023 04:00 - 06.07.2023 04:15","516","N/A"
"06.07.2023 04:15 - 06.07.2023 04:30","516","N/A"
"06.07.2023 04:30 - 06.07.2023 04:45","516","N/A"
"06.07.2023 04:45 - 06.07.2023 05:00","516","N/A"
"06.07.2023 05:00 - 06.07.2023 05:15","544","N/A"
"06.07.2023 05:15 - 06.07.2023 05:30","544","N/A"
"06.07.2023 05:30 - 06.07.2023 05:45","544","N/A"
"06.07.2023 05:45 - 06.07.2023 06:00","544","N/A"
"06.07.2023 06:00 - 06.07.2023 06:15","622","N/A"
"06.07.2023 06:15 - 06.07.2023 06:30","622","N/A"
"06.07.2023 06:30 - 06.07.2023 06:45","622","N/A"
"06.07.2023 06:45 - 06.07.2023 07:00","622","N/A"
"06.07.2023 07:00 - 06.07.2023 07:15","747","N/A"
"06.07.2023 07:15 - 06.07.2023 07:30","747","N/A"
"06.07.2023 07:30 - 06.07.2023 07:45","747","N/A"
"06.07.2023 07:45 - 06.07.2023 08:00","747","N/A"
"06.07.2023 08:00 - 06.07.2023 08:15","846","N/A"
"06.07.2023 08:15 - 06.07.2023 08:30","846","N/A"
"06.07.2023 08:30 - 06.07.2023 08:45","846","N/A"
"06.07.2023 08:45 - 06.07.2023 09:00","846","N/A"
"06.07.2023 09:00 - 06.07.2023 09:15","877","N/A"
"06.07.2023 09:15 - 06.07.2023 09:30","877","N/A"
"06.07.2023 09:30 - 06.07.2023 09:45","877","N/A"
"06.07.2023 09:45 - 06.07.2023 10:00","877","N/A"
"06.07.2023 10:00 - 06.07.2023 10:15","890","N/A"
"06.07.2023 10:15 - 06.07.2023 10:30","890","N/A"
"06.07.2023 10:30 - 06.07.2023 10:45","890","N/A"
"06.07.2023 10:45 - 06.07.2023 11:00","890","N/A"
"06.07.2023 11:00 - 06.07.2023 11:15","894","N/A"
"06.07.2023 11:15 - 06.07.2023 11:30","894","N/A"
"06.07.2023 11:30 - 06.07.2023 11:45","894","N/A"
"06.07.2023 11:45 - 06.07.2023 12:00","894","N/A"
"06.07.2023 12:00 - 06.07.2023 12:15","902","N/A"
"06.07.2023 12:15 - 06.07.2023 12:30","902","N/A"
"06.07.2023 12:30 - 06.07.2023 12:45","902","N/A"
"06.07.2023 12:45 - 06.07.2023 13:00","902","N/A"
"06.07.2023 13:00 - 06.07.2023 13:15","922","N/A"
"06.07.2023 13:15 - 06.07.2023 13:30","922","N/A"
"06.07.2023 13:30 - 06.07.2023 13:45","922","N/A"
"06.07.2023 13:45 - 06.07.2023 14:00","922","N/A"
"06.07.2023 14:00 - 06.07.2023 14:15","908","N/A"
"06.07.2023 14:15 - 06.07.2023 14:30","908","N/A"
"06.07.2023 14:30 - 06.07.2023 14:45","908","N/A"
"06.07.2023 14:45 - 06.07.2023 15:00","908","N/A"
"06.07.2023 15:00 - 06.07.2023 15:15","887","N/A"
"06.07.2023 15:15 - 06.07.2023 15:30","887","N/A"
"06.07.2023 15:30 - 06.07.2023 15:45","887","N/A"
"06.07.2023 15:45 - 06.07.2023 16:00","887","N/A"
"06.07.2023 16:00 - 06.07.2023 16:15","875","N/A"
"06.07.2023 16:15 - 06.07.2023 16:30","875","N/A"
"06.07.2023 16:30 - 06.07.2023 16:45","875","N/A"
"06.07.2023 16:45 - 06.07.2023 17:00","875","N/A"
"06.07.2023 17:00 - 06.07.2023 17:15","899","N/A"
"06.07.2023 17:15 - 06.07.2023 17:30","899","N/A"
"06.07.2023 17:30 - 06.07.2023 17:45","899","N/A"
"06.07.2023 17:45 - 06.07.2023 18:00","899","N/A"
"06.07.2023 18:00 - 06.07.2023 18:15","918","N/A"
"06.07.2023 18:15 - 06.07.2023 18:30","918","N/A"
"06.07.2023 18:30 - 06.07.2023 18:45","918","N/A"
"06.07.2023 18:45 - 06.07.2023 19:00","918","N/A"
"06.07.2023 19:00 - 06.07.2023 19:15","926","N/A"
"06.07.2023 19:15 - 06.07.2023 19:30","926","N/A"
"06.07.2023 19:30 - 06.07.2023 19:45","926","N/A"
"06.07.2023 19:45 - 06.07.2023 20:00","926","N/A"
"06.07.2023 20:00 - 06.07.2023 20:15","958","N/A"
"06.07.2023 20:15 - 06.07.2023 20:30","958","N/A"
"06.07.2023 20:30 - 06.07.2023 20:45","958","N/A"
"06.07.2023 20:45 - 06.07.2023 21:00","958","N/A"
"06.07.2023 21:00 - 06.07.2023 21:15","960","N/A"
"06.07.2023 21:15 - 06.07.2023 21:30","960","N/A"
"06.07.2023 21:30 - 06.07.2023 21:45","960","N/A"
"06.07.2023 21:45 - 06.07.2023 22:00","960","N/A"
"06.07.2023 22:00 - 06.07.2023 22:15","860","N/A"
"06.07.2023 22:15 - 06.07.2023 22:30","860","N/A"
"06.07.2023 22:30 - 06.07.2023 22:45","860","N/A"
"06.07.2023 22:45 - 06.07.2023 23:00","860","N/A"
"06.07.2023 23:00 - 06.07.2023 23:15","723","N/A"
"06.07.2023 23:15 - 06.07.2023 23:30","723","N/A"
